,Middle Reliever,Setup/Closer Pitcher,Starting Pitcher
OContact_pct,0.6318969696969697,0.602716,0.6390421875000001
ZContact_pct,0.8536174242424241,0.8422288,0.8520132812500001
Contact_pct,0.7677181818181819,0.7465584,0.76716484375
Zone_pct,0.4207030303030303,0.4208272,0.42308203125
FStrike_pct,0.6125969696969696,0.6171464000000001,0.62845234375
SwStr_pct,0.10993712121212122,0.1192656,0.11288203125
CStr_pct,0.16583484848484847,0.1674452,0.1625375
CSW_pct,0.27577196969696965,0.2867084,0.2754171875
ERA_minus,93.93524964962121,88.22653472555999,92.88717326234374
FIP_minus,97.90465665515151,90.64595036,97.64940386570312
xFIP_minus,100.80353949174243,95.5806226382,98.04495291382813
Pace,18.701856818181824,18.970364,18.496471874999997
RA9_WAR,0.6578368067954546,0.61859282278,1.60419820896875
BIP_Wins,0.0586659803939394,0.08325083070400001,0.134067339859375
LOB_Wins,0.022142580204545455,-0.020298931712000007,0.024920280007812504
FDP_Wins,0.08080855443939394,0.06295188228000001,0.15898755765625
Pull_pct,0.400069696969697,0.4003416,0.40892500000000004
Cent_pct,0.35058106060606065,0.34486760000000005,0.34281796875000003
Oppo_pct,0.24934393939393937,0.25479160000000006,0.24825390625
Soft_pct,0.16034318181818183,0.1662248,0.15519765625
Med_pct,0.5163704545454545,0.5256412,0.52801796875
Hard_pct,0.32328787878787885,0.30813959999999996,0.3167796875
TTO_pct,0.348440909090909,0.3664496,0.338796875
FRM,0.04891661351515151,-0.004443064467999999,0.181133006640625
K_pct_plus,101.1552487305303,109.67884733232,101.19792257437501
BB_pct_plus,104.18328232719696,106.36065230468,88.76867580984376
K_per_9_plus,99.62488849393938,108.25731743851999,98.53577185601564
BB_per_9_plus,105.11404562613635,106.25646541964,87.5487178846875
K_to_BB_plus,112.04679963772726,120.51382591880001,130.84745756718752
H_per_9_plus,95.40157791060604,92.14419203588,95.4004411559375
HR_per_9_plus,91.51624350606062,81.12278987204,99.78080113726563
AVG_plus,94.59239775840909,92.04251742948,95.04598173796876
WHIP_plus,98.10968499765151,96.08667091603199,93.20410115273438
BABIP_plus,95.74940903015153,96.10656041812,93.86160178984375
LOB_pct_plus,102.50486620515152,102.98353356812,104.10388943164062
GB_pct_plus,100.23440795030302,102.76324833096,99.06098529632813
LD_pct_plus,98.22770791537879,95.59603470744001,94.56492202429689
FB_pct_plus,100.82854310742425,99.2228105952,103.81635276726561
HR_to_FB_pct_plus,91.91508723560607,88.15805236328,98.54023567914061
Pull_pct_plus,97.35879968863637,97.41954761343999,99.51780258054686
Cent_pct_plus,101.42161601348485,99.72098885051999,99.17631998015625
Oppo_pct_plus,102.47130652613636,104.72993789132,101.9648103153125
Med_pct_plus,99.60045680590908,101.4119427258,101.84263013687502
Hard_pct_plus,99.05045878863636,94.39105491924,97.0769384184375
EV,88.79492815575759,88.29550840111999,88.87421824148437
LA,12.73921897606818,12.694133845111999,13.435151762882812
Barrels,10.098484848484848,8.952,20.828125
Barrel_pct,0.07529924242424244,0.0712688,0.080209375
maxEV,110.74757272727274,110.48887079999999,112.22915625000002
HardHit,51.95454545454545,46.008,99.953125
HardHit_pct,0.38652651515151515,0.37184360000000005,0.38712734374999996
FA_pct,0.49070757575757573,0.4795332,0.48138203124999995
FAv,93.78925151515152,94.26508079999999,93.76423359375
wFB,1.1914067501363637,1.15623297088,1.729230855296875
wFB_per_c,0.0468979112121212,0.18539086127999996,0.2168691315078125
FA_pct_sc,0.3161992424242424,0.3534508,0.36891015625
vFA_sc,93.80447521674242,94.31411192264001,93.83743549421874
FA_X_sc,-3.049856993295455,-2.0354505664479996,-1.763784639390625
FA_Z_sc,8.538347697416667,8.788655074892,9.112799316507814
wFA_sc,0.34130140592424246,0.8487405402159999,0.8808356615859374
wFA_per_c_sc,-0.4921140765454546,-0.10079321876000005,-0.5446496796406252
OSwing_pct_sc,0.28070530303030305,0.2919396,0.3009140625
ZSwing_pct_sc,0.6562492424242424,0.645968,0.66045625
Swing_pct_sc,0.471739393939394,0.47276,0.48526562500000003
OContact_pct_sc,0.5671386363636364,0.5420347999999999,0.5846375
ZContact_pct_sc,0.8490674242424242,0.8360248,0.848390625
Contact_pct_sc,0.766669696969697,0.7454168,0.7665304687500001
Zone_pct_sc,0.5080575757575758,0.5086347999999999,0.51031015625
botERA,4.352644269196969,4.142120066308,4.14466256878125
botOvr_FA,49.04369038583334,51.72937914248,53.92862776242187
botStf_FA,47.19356542939394,51.54073591115999,49.71866375226563
botCmd_FA,50.03893936704546,50.557321295079994,54.85724631421874
botOvr,51.801722088712125,54.06511875923999,54.03778461265625
botStf,49.6418517410606,53.71993170068,49.1922407321875
botCmd,52.34032869742425,51.84434428684,55.828356196406254
botxRV100,0.014854534075757571,-0.125494938072,-0.12379999628906249
Stf_plus_FA,91.62017051022727,96.80668906236001,95.01807642914062
Loc_plus_FA,100.29587766613636,100.29168237683999,102.75378840921874
Pit_plus_FA,95.51371080060606,97.57068519580001,99.09999548882811
Stuff_plus,97.32225874318183,104.21643551748,99.0099194309375
Location_plus,100.03961599181818,99.72584338592,101.91496943874998
Pitching_plus,99.26667636121213,101.46935021588001,101.30187365390626
average_batters_faced_per_appearance_SP,6.1488985193422705,2.918824669878546,9.127581718362883
average_innings_pitched_per_appearance_SP,3.1418287033344643,1.3854993188527067,5.333992570917525
average_batters_faced_per_appearance_RP,7.09288823497005,4.992033293051449,0.5535714285714286
average_innings_pitched_per_appearance_RP,2.5934180989253393,1.491196546022299,0.2377232142857143
z_total_score,14.951337327963868,16.533264863169403,18.943800566600366
